;municipio;uf;date;casos confirmados;mortes;casos_interpolados;mortes_interpoladas
72;Alagoinhas;BA;2020-03-23;;;0.0;0.0
73;Alagoinhas;BA;2020-03-24;;;0.0;0.0
74;Alagoinhas;BA;2020-03-25;;;0.0;0.0
75;Alagoinhas;BA;2020-03-26;1.0;;1.0;0.0
76;Alagoinhas;BA;2020-03-27;1.0;;1.0;0.0
77;Alagoinhas;BA;2020-03-28;1.0;;1.0;0.0
78;Alagoinhas;BA;2020-03-29;1.0;;1.0;0.0
79;Alagoinhas;BA;2020-03-30;1.0;;1.0;0.0
80;Almirante Tamandaré;PR;2020-02-20;;;0.0;0.0
81;Almirante Tamandaré;PR;2020-02-21;;;0.0;0.0
82;Almirante Tamandaré;PR;2020-02-22;;;0.0;0.0
83;Almirante Tamandaré;PR;2020-02-23;;;0.0;0.0
84;Almirante Tamandaré;PR;2020-02-24;;;0.0;0.0
85;Almirante Tamandaré;PR;2020-02-25;;;0.0;0.0
86;Almirante Tamandaré;PR;2020-02-26;;;0.0;0.0
87;Almirante Tamandaré;PR;2020-02-27;;;0.0;0.0
88;Almirante Tamandaré;PR;2020-02-28;;;0.0;0.0
89;Almirante Tamandaré;PR;2020-02-29;;;0.0;0.0
90;Almirante Tamandaré;PR;2020-03-01;;;0.0;0.0
91;Almirante Tamandaré;PR;2020-03-02;;;0.0;0.0
92;Almirante Tamandaré;PR;2020-03-03;;;0.0;0.0
93;Almirante Tamandaré;PR;2020-03-04;;;0.0;0.0
94;Almirante Tamandaré;PR;2020-03-05;;;0.0;0.0
95;Almirante Tamandaré;PR;2020-03-06;;;0.0;0.0
96;Almirante Tamandaré;PR;2020-03-07;;;0.0;0.0
97;Almirante Tamandaré;PR;2020-03-08;;;0.0;0.0
98;Almirante Tamandaré;PR;2020-03-09;;;0.0;0.0
99;Almirante Tamandaré;PR;2020-03-10;;;0.0;0.0
100;Almirante Tamandaré;PR;2020-03-11;;;0.0;0.0
101;Almirante Tamandaré;PR;2020-03-12;;;0.0;0.0
102;Almirante Tamandaré;PR;2020-03-13;;;0.0;0.0
103;Almirante Tamandaré;PR;2020-03-14;;;0.0;0.0
104;Almirante Tamandaré;PR;2020-03-15;;;0.0;0.0
105;Almirante Tamandaré;PR;2020-03-16;;;0.0;0.0
106;Almirante Tamandaré;PR;2020-03-17;;;0.0;0.0
107;Almirante Tamandaré;PR;2020-03-18;;;0.0;0.0
108;Almirante Tamandaré;PR;2020-03-19;;;0.0;0.0
109;Almirante Tamandaré;PR;2020-03-20;;;0.0;0.0
110;Almirante Tamandaré;PR;2020-03-21;;;0.0;0.0
111;Almirante Tamandaré;PR;2020-03-22;;;0.0;0.0
112;Almirante Tamandaré;PR;2020-03-23;;;0.0;0.0
113;Almirante Tamandaré;PR;2020-03-24;;;0.0;0.0
114;Almirante Tamandaré;PR;2020-03-25;;;0.0;0.0
115;Almirante Tamandaré;PR;2020-03-26;;;0.0;0.0
116;Almirante Tamandaré;PR;2020-03-27;;;0.0;0.0
117;Almirante Tamandaré;PR;2020-03-28;;;0.0;0.0
118;Almirante Tamandaré;PR;2020-03-29;;;0.0;0.0
119;Almirante Tamandaré;PR;2020-03-30;2.0;;2.0;0.0
120;Alvorada;RS;2020-02-20;;;0.0;0.0
121;Alvorada;RS;2020-02-21;;;0.0;0.0
122;Alvorada;RS;2020-02-22;;;0.0;0.0
123;Alvorada;RS;2020-02-23;;;0.0;0.0
124;Alvorada;RS;2020-02-24;;;0.0;0.0
125;Alvorada;RS;2020-02-25;;;0.0;0.0
126;Alvorada;RS;2020-02-26;;;0.0;0.0
127;Alvorada;RS;2020-02-27;;;0.0;0.0
128;Alvorada;RS;2020-02-28;;;0.0;0.0
129;Alvorada;RS;2020-02-29;;;0.0;0.0
130;Alvorada;RS;2020-03-01;;;0.0;0.0
131;Alvorada;RS;2020-03-02;;;0.0;0.0
132;Alvorada;RS;2020-03-03;;;0.0;0.0
133;Alvorada;RS;2020-03-04;;;0.0;0.0
134;Alvorada;RS;2020-03-05;;;0.0;0.0
135;Alvorada;RS;2020-03-06;;;0.0;0.0
136;Alvorada;RS;2020-03-07;;;0.0;0.0
137;Alvorada;RS;2020-03-08;;;0.0;0.0
138;Alvorada;RS;2020-03-09;;;0.0;0.0
139;Alvorada;RS;2020-03-10;;;0.0;0.0
140;Alvorada;RS;2020-03-11;;;0.0;0.0
141;Alvorada;RS;2020-03-12;;;0.0;0.0
142;Alvorada;RS;2020-03-13;;;0.0;0.0
143;Alvorada;RS;2020-03-14;;;0.0;0.0
144;Alvorada;RS;2020-03-15;;;0.0;0.0
145;Alvorada;RS;2020-03-16;;;0.0;0.0
146;Alvorada;RS;2020-03-17;;;0.0;0.0
147;Alvorada;RS;2020-03-18;;;0.0;0.0
148;Alvorada;RS;2020-03-19;1.0;;1.0;0.0
149;Alvorada;RS;2020-03-20;1.0;;1.0;0.0
150;Alvorada;RS;2020-03-21;2.0;;2.0;0.0
151;Alvorada;RS;2020-03-22;2.0;;2.0;0.0
152;Alvorada;RS;2020-03-23;2.0;;2.0;0.0
153;Alvorada;RS;2020-03-24;2.0;;2.0;0.0
154;Alvorada;RS;2020-03-25;2.0;;2.0;0.0
155;Alvorada;RS;2020-03-26;2.0;;2.0;0.0
156;Alvorada;RS;2020-03-27;2.0;;2.0;0.0
157;Alvorada;RS;2020-03-28;2.0;;2.0;0.0
158;Alvorada;RS;2020-03-29;2.0;;2.0;0.0
159;Alvorada;RS;2020-03-30;2.0;;2.0;0.0
160;Ananindeua;PA;2020-02-20;;;0.0;0.0
161;Ananindeua;PA;2020-02-21;;;0.0;0.0
162;Ananindeua;PA;2020-02-22;;;0.0;0.0
163;Ananindeua;PA;2020-02-23;;;0.0;0.0
164;Ananindeua;PA;2020-02-24;;;0.0;0.0
165;Ananindeua;PA;2020-02-25;;;0.0;0.0
166;Ananindeua;PA;2020-02-26;;;0.0;0.0
167;Ananindeua;PA;2020-02-27;;;0.0;0.0
168;Ananindeua;PA;2020-02-28;;;0.0;0.0
169;Ananindeua;PA;2020-02-29;;;0.0;0.0
170;Ananindeua;PA;2020-03-01;;;0.0;0.0
171;Ananindeua;PA;2020-03-02;;;0.0;0.0
172;Ananindeua;PA;2020-03-03;;;0.0;0.0
173;Ananindeua;PA;2020-03-04;;;0.0;0.0
174;Ananindeua;PA;2020-03-05;;;0.0;0.0
175;Ananindeua;PA;2020-03-06;;;0.0;0.0
176;Ananindeua;PA;2020-03-07;;;0.0;0.0
177;Ananindeua;PA;2020-03-08;;;0.0;0.0
178;Ananindeua;PA;2020-03-09;;;0.0;0.0
179;Ananindeua;PA;2020-03-10;;;0.0;0.0
180;Ananindeua;PA;2020-03-11;;;0.0;0.0
181;Ananindeua;PA;2020-03-12;;;0.0;0.0
182;Ananindeua;PA;2020-03-13;;;0.0;0.0
183;Ananindeua;PA;2020-03-14;;;0.0;0.0
184;Ananindeua;PA;2020-03-15;;;0.0;0.0
185;Ananindeua;PA;2020-03-16;;;0.0;0.0
186;Ananindeua;PA;2020-03-17;;;0.0;0.0
187;Ananindeua;PA;2020-03-18;;;0.0;0.0
188;Ananindeua;PA;2020-03-19;;;0.0;0.0
189;Ananindeua;PA;2020-03-20;;;0.0;0.0
190;Ananindeua;PA;2020-03-21;;;0.0;0.0
191;Ananindeua;PA;2020-03-22;;;0.0;0.0
192;Ananindeua;PA;2020-03-23;;;0.0;0.0
193;Ananindeua;PA;2020-03-24;;;0.0;0.0
194;Ananindeua;PA;2020-03-25;2.0;;2.0;0.0
195;Ananindeua;PA;2020-03-26;4.0;;4.0;0.0
196;Ananindeua;PA;2020-03-27;4.0;;4.0;0.0
197;Ananindeua;PA;2020-03-28;4.0;;4.0;0.0
198;Ananindeua;PA;2020-03-29;4.0;;4.0;0.0
199;Ananindeua;PA;2020-03-30;5.0;;5.0;0.0
200;Angra dos Reis;RJ;2020-02-20;;;0.0;0.0
201;Angra dos Reis;RJ;2020-02-21;;;0.0;0.0
202;Angra dos Reis;RJ;2020-02-22;;;0.0;0.0
203;Angra dos Reis;RJ;2020-02-23;;;0.0;0.0
204;Angra dos Reis;RJ;2020-02-24;;;0.0;0.0
205;Angra dos Reis;RJ;2020-02-25;;;0.0;0.0
206;Angra dos Reis;RJ;2020-02-26;;;0.0;0.0
207;Angra dos Reis;RJ;2020-02-27;;;0.0;0.0
208;Angra dos Reis;RJ;2020-02-28;;;0.0;0.0
209;Angra dos Reis;RJ;2020-02-29;;;0.0;0.0
210;Angra dos Reis;RJ;2020-03-01;;;0.0;0.0
211;Angra dos Reis;RJ;2020-03-02;;;0.0;0.0
212;Angra dos Reis;RJ;2020-03-03;;;0.0;0.0
213;Angra dos Reis;RJ;2020-03-04;;;0.0;0.0
214;Angra dos Reis;RJ;2020-03-05;;;0.0;0.0
215;Angra dos Reis;RJ;2020-03-06;;;0.0;0.0
216;Angra dos Reis;RJ;2020-03-07;;;0.0;0.0
217;Angra dos Reis;RJ;2020-03-08;;;0.0;0.0
218;Angra dos Reis;RJ;2020-03-09;;;0.0;0.0
219;Angra dos Reis;RJ;2020-03-10;;;0.0;0.0
220;Angra dos Reis;RJ;2020-03-11;;;0.0;0.0
221;Angra dos Reis;RJ;2020-03-12;;;0.0;0.0
222;Angra dos Reis;RJ;2020-03-13;;;0.0;0.0
223;Angra dos Reis;RJ;2020-03-14;;;0.0;0.0
224;Angra dos Reis;RJ;2020-03-15;;;0.0;0.0
225;Angra dos Reis;RJ;2020-03-16;;;0.0;0.0
226;Angra dos Reis;RJ;2020-03-17;;;0.0;0.0
227;Angra dos Reis;RJ;2020-03-18;;;0.0;0.0
228;Angra dos Reis;RJ;2020-03-19;;;0.0;0.0
229;Angra dos Reis;RJ;2020-03-20;;;0.0;0.0
230;Angra dos Reis;RJ;2020-03-21;;;0.0;0.0
231;Angra dos Reis;RJ;2020-03-22;;;0.0;0.0
232;Angra dos Reis;RJ;2020-03-23;;;0.0;0.0
233;Angra dos Reis;RJ;2020-03-24;;;0.0;0.0
234;Angra dos Reis;RJ;2020-03-25;;;0.0;0.0
235;Angra dos Reis;RJ;2020-03-26;;;0.0;0.0
236;Angra dos Reis;RJ;2020-03-27;;;0.0;0.0
237;Angra dos Reis;RJ;2020-03-28;;;0.0;0.0
238;Angra dos Reis;RJ;2020-03-29;;;0.0;0.0
239;Angra dos Reis;RJ;2020-03-30;1.0;;1.0;0.0
240;Anori;AM;2020-02-20;;;0.0;0.0
241;Anori;AM;2020-02-21;;;0.0;0.0
242;Anori;AM;2020-02-22;;;0.0;0.0
243;Anori;AM;2020-02-23;;;0.0;0.0
244;Anori;AM;2020-02-24;;;0.0;0.0
245;Anori;AM;2020-02-25;;;0.0;0.0
246;Anori;AM;2020-02-26;;;0.0;0.0
247;Anori;AM;2020-02-27;;;0.0;0.0
248;Anori;AM;2020-02-28;;;0.0;0.0
249;Anori;AM;2020-02-29;;;0.0;0.0
250;Anori;AM;2020-03-01;;;0.0;0.0
251;Anori;AM;2020-03-02;;;0.0;0.0
252;Anori;AM;2020-03-03;;;0.0;0.0
253;Anori;AM;2020-03-04;;;0.0;0.0
254;Anori;AM;2020-03-05;;;0.0;0.0
255;Anori;AM;2020-03-06;;;0.0;0.0
256;Anori;AM;2020-03-07;;;0.0;0.0
257;Anori;AM;2020-03-08;;;0.0;0.0
258;Anori;AM;2020-03-09;;;0.0;0.0
259;Anori;AM;2020-03-10;;;0.0;0.0
260;Anori;AM;2020-03-11;;;0.0;0.0
261;Anori;AM;2020-03-12;;;0.0;0.0
262;Anori;AM;2020-03-13;;;0.0;0.0
263;Anori;AM;2020-03-14;;;0.0;0.0
264;Anori;AM;2020-03-15;;;0.0;0.0
265;Anori;AM;2020-03-16;;;0.0;0.0
266;Anori;AM;2020-03-17;;;0.0;0.0
267;Anori;AM;2020-03-18;;;0.0;0.0
268;Anori;AM;2020-03-19;;;0.0;0.0
269;Anori;AM;2020-03-20;;;0.0;0.0
270;Anori;AM;2020-03-21;;;0.0;0.0
271;Anori;AM;2020-03-22;;;0.0;0.0
272;Anori;AM;2020-03-23;;;0.0;0.0
273;Anori;AM;2020-03-24;;;0.0;0.0
274;Anori;AM;2020-03-25;;;0.0;0.0
275;Anori;AM;2020-03-26;;;0.0;0.0
276;Anori;AM;2020-03-27;;;0.0;0.0
277;Anori;AM;2020-03-28;;;0.0;0.0
278;Anori;AM;2020-03-29;1.0;;1.0;0.0
279;Anori;AM;2020-03-30;1.0;;1.0;0.0
280;Anta Gorda;RS;2020-02-20;;;0.0;0.0
281;Anta Gorda;RS;2020-02-21;;;0.0;0.0
282;Anta Gorda;RS;2020-02-22;;;0.0;0.0
283;Anta Gorda;RS;2020-02-23;;;0.0;0.0
284;Anta Gorda;RS;2020-02-24;;;0.0;0.0
285;Anta Gorda;RS;2020-02-25;;;0.0;0.0
286;Anta Gorda;RS;2020-02-26;;;0.0;0.0
287;Anta Gorda;RS;2020-02-27;;;0.0;0.0
288;Anta Gorda;RS;2020-02-28;;;0.0;0.0
289;Anta Gorda;RS;2020-02-29;;;0.0;0.0
290;Anta Gorda;RS;2020-03-01;;;0.0;0.0
291;Anta Gorda;RS;2020-03-02;;;0.0;0.0
292;Anta Gorda;RS;2020-03-03;;;0.0;0.0
293;Anta Gorda;RS;2020-03-04;;;0.0;0.0
294;Anta Gorda;RS;2020-03-05;;;0.0;0.0
295;Anta Gorda;RS;2020-03-06;;;0.0;0.0
296;Anta Gorda;RS;2020-03-07;;;0.0;0.0
297;Anta Gorda;RS;2020-03-08;;;0.0;0.0
298;Anta Gorda;RS;2020-03-09;;;0.0;0.0
299;Anta Gorda;RS;2020-03-10;;;0.0;0.0
300;Anta Gorda;RS;2020-03-11;;;0.0;0.0
301;Anta Gorda;RS;2020-03-12;;;0.0;0.0
302;Anta Gorda;RS;2020-03-13;;;0.0;0.0
303;Anta Gorda;RS;2020-03-14;;;0.0;0.0
304;Anta Gorda;RS;2020-03-15;;;0.0;0.0
305;Anta Gorda;RS;2020-03-16;;;0.0;0.0
306;Anta Gorda;RS;2020-03-17;;;0.0;0.0
307;Anta Gorda;RS;2020-03-18;;;0.0;0.0
308;Anta Gorda;RS;2020-03-19;;;0.0;0.0
309;Anta Gorda;RS;2020-03-20;;;0.0;0.0
310;Anta Gorda;RS;2020-03-21;;;0.0;0.0
311;Anta Gorda;RS;2020-03-22;;;0.0;0.0
312;Anta Gorda;RS;2020-03-23;;;0.0;0.0
313;Anta Gorda;RS;2020-03-24;1.0;;1.0;0.0
314;Anta Gorda;RS;2020-03-25;2.0;;2.0;0.0
315;Anta Gorda;RS;2020-03-26;2.0;;2.0;0.0
316;Anta Gorda;RS;2020-03-27;2.0;;2.0;0.0
317;Anta Gorda;RS;2020-03-28;2.0;;2.0;0.0
318;Anta Gorda;RS;2020-03-29;2.0;;2.0;0.0
319;Anta Gorda;RS;2020-03-30;2.0;;2.0;0.0
320;Antônio Carlos;SC;2020-02-20;;;0.0;0.0
321;Antônio Carlos;SC;2020-02-21;;;0.0;0.0
322;Antônio Carlos;SC;2020-02-22;;;0.0;0.0
323;Antônio Carlos;SC;2020-02-23;;;0.0;0.0
324;Antônio Carlos;SC;2020-02-24;;;0.0;0.0
325;Antônio Carlos;SC;2020-02-25;;;0.0;0.0
326;Antônio Carlos;SC;2020-02-26;;;0.0;0.0
327;Antônio Carlos;SC;2020-02-27;;;0.0;0.0
328;Antônio Carlos;SC;2020-02-28;;;0.0;0.0
329;Antônio Carlos;SC;2020-02-29;;;0.0;0.0
330;Antônio Carlos;SC;2020-03-01;;;0.0;0.0
331;Antônio Carlos;SC;2020-03-02;;;0.0;0.0
332;Antônio Carlos;SC;2020-03-03;;;0.0;0.0
333;Antônio Carlos;SC;2020-03-04;;;0.0;0.0
334;Antônio Carlos;SC;2020-03-05;;;0.0;0.0
335;Antônio Carlos;SC;2020-03-06;;;0.0;0.0
336;Antônio Carlos;SC;2020-03-07;;;0.0;0.0
337;Antônio Carlos;SC;2020-03-08;;;0.0;0.0
338;Antônio Carlos;SC;2020-03-09;;;0.0;0.0
339;Antônio Carlos;SC;2020-03-10;;;0.0;0.0
340;Antônio Carlos;SC;2020-03-11;;;0.0;0.0
341;Antônio Carlos;SC;2020-03-12;;;0.0;0.0
342;Antônio Carlos;SC;2020-03-13;;;0.0;0.0
343;Antônio Carlos;SC;2020-03-14;;;0.0;0.0
344;Antônio Carlos;SC;2020-03-15;;;0.0;0.0
345;Antônio Carlos;SC;2020-03-16;;;0.0;0.0
346;Antônio Carlos;SC;2020-03-17;;;0.0;0.0
347;Antônio Carlos;SC;2020-03-18;;;0.0;0.0
348;Antônio Carlos;SC;2020-03-19;;;0.0;0.0
349;Antônio Carlos;SC;2020-03-20;;;0.0;0.0
350;Antônio Carlos;SC;2020-03-21;;;0.0;0.0
351;Antônio Carlos;SC;2020-03-22;;;0.0;0.0
352;Antônio Carlos;SC;2020-03-23;;;0.0;0.0
353;Antônio Carlos;SC;2020-03-24;;;0.0;0.0
354;Antônio Carlos;SC;2020-03-25;;;0.0;0.0
355;Antônio Carlos;SC;2020-03-26;;;0.0;0.0
356;Antônio Carlos;SC;2020-03-27;1.0;;1.0;0.0
357;Antônio Carlos;SC;2020-03-28;1.0;;1.0;0.0
358;Antônio Carlos;SC;2020-03-29;1.0;;1.0;0.0
359;Antônio Carlos;SC;2020-03-30;1.0;;1.0;0.0
360;Anápolis;GO;2020-02-20;;;0.0;0.0
361;Anápolis;GO;2020-02-21;;;0.0;0.0
362;Anápolis;GO;2020-02-22;;;0.0;0.0
363;Anápolis;GO;2020-02-23;;;0.0;0.0
364;Anápolis;GO;2020-02-24;;;0.0;0.0
365;Anápolis;GO;2020-02-25;;;0.0;0.0
366;Anápolis;GO;2020-02-26;;;0.0;0.0
367;Anápolis;GO;2020-02-27;;;0.0;0.0
368;Anápolis;GO;2020-02-28;;;0.0;0.0
369;Anápolis;GO;2020-02-29;;;0.0;0.0
370;Anápolis;GO;2020-03-01;;;0.0;0.0
371;Anápolis;GO;2020-03-02;;;0.0;0.0
372;Anápolis;GO;2020-03-03;;;0.0;0.0
373;Anápolis;GO;2020-03-04;;;0.0;0.0
374;Anápolis;GO;2020-03-05;;;0.0;0.0
375;Anápolis;GO;2020-03-06;;;0.0;0.0
376;Anápolis;GO;2020-03-07;;;0.0;0.0
377;Anápolis;GO;2020-03-08;;;0.0;0.0
378;Anápolis;GO;2020-03-09;;;0.0;0.0
379;Anápolis;GO;2020-03-10;;;0.0;0.0
380;Anápolis;GO;2020-03-11;;;0.0;0.0
381;Anápolis;GO;2020-03-12;;;0.0;0.0
382;Anápolis;GO;2020-03-13;;;0.0;0.0
383;Anápolis;GO;2020-03-14;;;0.0;0.0
384;Anápolis;GO;2020-03-15;;;0.0;0.0
385;Anápolis;GO;2020-03-16;2.0;;2.0;0.0
386;Anápolis;GO;2020-03-17;2.0;;2.0;0.0
387;Anápolis;GO;2020-03-18;2.0;;2.0;0.0
388;Anápolis;GO;2020-03-19;2.0;;2.0;0.0
389;Anápolis;GO;2020-03-20;2.0;;2.0;0.0
390;Anápolis;GO;2020-03-21;2.0;;2.0;0.0
391;Anápolis;GO;2020-03-22;2.0;;2.0;0.0
392;Anápolis;GO;2020-03-23;2.0;;2.0;0.0
393;Anápolis;GO;2020-03-24;3.0;;3.0;0.0
394;Anápolis;GO;2020-03-25;3.0;;3.0;0.0
395;Anápolis;GO;2020-03-26;3.0;;3.0;0.0
396;Anápolis;GO;2020-03-27;3.0;;3.0;0.0
397;Anápolis;GO;2020-03-28;4.0;;4.0;0.0
398;Anápolis;GO;2020-03-29;4.0;;4.0;0.0
399;Anápolis;GO;2020-03-30;4.0;;4.0;0.0
400;Aparecida de Goiânia;GO;2020-02-20;;;0.0;0.0
401;Aparecida de Goiânia;GO;2020-02-21;;;0.0;0.0
402;Aparecida de Goiânia;GO;2020-02-22;;;0.0;0.0
403;Aparecida de Goiânia;GO;2020-02-23;;;0.0;0.0
404;Aparecida de Goiânia;GO;2020-02-24;;;0.0;0.0
405;Aparecida de Goiânia;GO;2020-02-25;;;0.0;0.0
406;Aparecida de Goiânia;GO;2020-02-26;;;0.0;0.0
407;Aparecida de Goiânia;GO;2020-02-27;;;0.0;0.0
408;Aparecida de Goiânia;GO;2020-02-28;;;0.0;0.0
409;Aparecida de Goiânia;GO;2020-02-29;;;0.0;0.0
410;Aparecida de Goiânia;GO;2020-03-01;;;0.0;0.0
411;Aparecida de Goiânia;GO;2020-03-02;;;0.0;0.0
412;Aparecida de Goiânia;GO;2020-03-03;;;0.0;0.0
413;Aparecida de Goiânia;GO;2020-03-04;;;0.0;0.0
414;Aparecida de Goiânia;GO;2020-03-05;;;0.0;0.0
415;Aparecida de Goiânia;GO;2020-03-06;;;0.0;0.0
416;Aparecida de Goiânia;GO;2020-03-07;;;0.0;0.0
417;Aparecida de Goiânia;GO;2020-03-08;;;0.0;0.0
418;Aparecida de Goiânia;GO;2020-03-09;;;0.0;0.0
419;Aparecida de Goiânia;GO;2020-03-10;;;0.0;0.0
420;Aparecida de Goiânia;GO;2020-03-11;;;0.0;0.0
421;Aparecida de Goiânia;GO;2020-03-12;;;0.0;0.0
422;Aparecida de Goiânia;GO;2020-03-13;;;0.0;0.0
423;Aparecida de Goiânia;GO;2020-03-14;;;0.0;0.0
424;Aparecida de Goiânia;GO;2020-03-15;;;0.0;0.0
425;Aparecida de Goiânia;GO;2020-03-16;;;0.0;0.0
426;Aparecida de Goiânia;GO;2020-03-17;;;0.0;0.0
427;Aparecida de Goiânia;GO;2020-03-18;1.0;;1.0;0.0
428;Aparecida de Goiânia;GO;2020-03-19;1.0;;1.0;0.0
429;Aparecida de Goiânia;GO;2020-03-20;1.0;;1.0;0.0
430;Aparecida de Goiânia;GO;2020-03-21;2.0;;2.0;0.0
431;Aparecida de Goiânia;GO;2020-03-22;1.0;;1.0;0.0
432;Aparecida de Goiânia;GO;2020-03-23;2.0;;2.0;0.0
433;Aparecida de Goiânia;GO;2020-03-24;2.0;;2.0;0.0
434;Aparecida de Goiânia;GO;2020-03-25;2.0;;2.0;0.0
435;Aparecida de Goiânia;GO;2020-03-26;2.0;;2.0;0.0
436;Aparecida de Goiânia;GO;2020-03-27;2.0;;2.0;0.0
437;Aparecida de Goiânia;GO;2020-03-28;2.0;;2.0;0.0
438;Aparecida de Goiânia;GO;2020-03-29;2.0;;2.0;0.0
439;Aparecida de Goiânia;GO;2020-03-30;2.0;;2.0;0.0
440;Apodi;RN;2020-02-20;;;0.0;0.0
441;Apodi;RN;2020-02-21;;;0.0;0.0
442;Apodi;RN;2020-02-22;;;0.0;0.0
443;Apodi;RN;2020-02-23;;;0.0;0.0
444;Apodi;RN;2020-02-24;;;0.0;0.0
445;Apodi;RN;2020-02-25;;;0.0;0.0
446;Apodi;RN;2020-02-26;;;0.0;0.0
447;Apodi;RN;2020-02-27;;;0.0;0.0
448;Apodi;RN;2020-02-28;;;0.0;0.0
449;Apodi;RN;2020-02-29;;;0.0;0.0
450;Apodi;RN;2020-03-01;;;0.0;0.0
451;Apodi;RN;2020-03-02;;;0.0;0.0
452;Apodi;RN;2020-03-03;;;0.0;0.0
453;Apodi;RN;2020-03-04;;;0.0;0.0
454;Apodi;RN;2020-03-05;;;0.0;0.0
455;Apodi;RN;2020-03-06;;;0.0;0.0
456;Apodi;RN;2020-03-07;;;0.0;0.0
457;Apodi;RN;2020-03-08;;;0.0;0.0
458;Apodi;RN;2020-03-09;;;0.0;0.0
