city,ibge_id,date,qty_cases,qty_new_cases,cumm_qty_new_cases_14d,category
BELEM,1501402,2020-06-01,2864,0,0,prediction
BELEM,2501906,2020-06-01,2864,0,0,prediction
BELEM,2700805,2020-06-01,2864,0,0,prediction
BELEM,1501402,2020-06-02,2864,0,0,prediction
BELEM,2501906,2020-06-02,2864,0,0,prediction
BELEM,2700805,2020-06-02,2864,0,0,prediction
BELEM,1501402,2020-06-03,2864,0,0,prediction
BELEM,2501906,2020-06-03,2864,0,0,prediction
BELEM,2700805,2020-06-03,2864,0,0,prediction
BELEM,1501402,2020-06-04,2864,0,0,prediction
BELEM,2501906,2020-06-04,2864,0,0,prediction
BELEM,2700805,2020-06-04,2864,0,0,prediction
BELEM,1501402,2020-06-05,2864,0,0,prediction
BELEM,2501906,2020-06-05,2864,0,0,prediction
BELEM,2700805,2020-06-05,2864,0,0,prediction
BELEM,1501402,2020-06-06,2864,0,0,prediction
BELEM,2501906,2020-06-06,2864,0,0,prediction
BELEM,2700805,2020-06-06,2864,0,0,prediction
BELEM,1501402,2020-06-07,2864,0,0,prediction
BELEM,2501906,2020-06-07,2864,0,0,prediction
BELEM,2700805,2020-06-07,2864,0,0,prediction
BELEM,1501402,2020-06-08,2864,0,0,prediction
BELEM,2501906,2020-06-08,2864,0,0,prediction
BELEM,2700805,2020-06-08,2864,0,0,prediction
BELO HORIZONTE,3106200,2020-03-15,1,1,1,real
BELO HORIZONTE,3106200,2020-03-16,1,0,1,real
BELO HORIZONTE,3106200,2020-03-17,5,4,5,real
BELO HORIZONTE,3106200,2020-03-18,10,5,10,real
BELO HORIZONTE,3106200,2020-03-19,18,8,18,real
BELO HORIZONTE,3106200,2020-03-20,20,2,20,real
BELO HORIZONTE,3106200,2020-03-21,30,10,30,real
BELO HORIZONTE,3106200,2020-03-22,30,0,30,real
BELO HORIZONTE,3106200,2020-03-23,60,30,60,real
BELO HORIZONTE,3106200,2020-03-24,87,27,87,real
BELO HORIZONTE,3106200,2020-03-25,90,3,90,real
BELO HORIZONTE,3106200,2020-03-26,96,6,96,real
BELO HORIZONTE,3106200,2020-03-27,118,22,118,real
BELO HORIZONTE,3106200,2020-03-28,129,11,129,real
BELO HORIZONTE,3106200,2020-03-29,143,14,142,real
BELO HORIZONTE,3106200,2020-03-30,163,20,162,real
BELO HORIZONTE,3106200,2020-03-31,163,0,158,real
BELO HORIZONTE,3106200,2020-04-01,188,25,178,real
BELO HORIZONTE,3106200,2020-04-02,210,22,192,real
BELO HORIZONTE,3106200,2020-04-03,225,15,205,real
