ibge_id,state,city,qty_cases,qty_deaths
4206207,SC,GRAVATAL,3,0
4207007,SC,ICARA,1,0
4207304,SC,IMBITUBA,5,0
4207502,SC,INDAIAL,1,0
4208203,SC,ITAJAI,18,0
4208302,SC,ITAPEMA,2,0
4208807,SC,JAGUARUNA,2,0
4208906,SC,JARAGUA DO SUL,3,0
4209102,SC,JOINVILLE,14,0
4209300,SC,LAGES,1,0
4209409,SC,LAGUNA,1,0
4211306,SC,NAVEGANTES,3,0
4212205,SC,PAPANDUVA,2,0
4212650,SC,PESCARIA BRAVA,1,0
4213203,SC,POMERODE,1,0
4213500,SC,PORTO BELO,4,0
4214300,SC,RANCHO QUEIMADO,2,0
4216206,SC,SAO FRANCISCO DO SUL,1,0
4216602,SC,SAO JOSE,10,0
4216909,SC,SAO LOURENCO DO OESTE,1,0
4217006,SC,SAO LUDGERO,1,0
4217253,SC,SAO PEDRO DE ALCANTARA,1,0
4217600,SC,SIDEROPOLIS,2,0
4218004,SC,TIJUCAS,1,0
4218103,SC,TIMBE DO SUL,1,0
4218707,SC,TUBARAO,9,0
4219002,SC,URUSSANGA,1,0
4300604,RS,ALVORADA,2,0
4300703,RS,ANTA GORDA,2,0
4301602,RS,BAGE,15,0
4302105,RS,BENTO GONCALVES,3,0
4303004,RS,CACHOEIRA DO SUL,1,0
4303905,RS,CAMPO BOM,2,0
4304507,RS,CANGUCU,1,0
4304606,RS,CANOAS,8,0
4304630,RS,CAPAO DA CANOA,2,0
4304804,RS,CARLOS BARBOSA,1,0
4305108,RS,CAXIAS DO SUL,13,0
4305173,RS,CERRO GRANDE DO SUL,1,0
4305355,RS,CHARQUEADAS,1,0
4306205,RS,CRUZEIRO DO SUL,1,0
4306403,RS,DOIS IRMAOS,1,0
4306601,RS,DOM PEDRITO,1,0
4306767,RS,ELDORADO DO SUL,1,0
4307005,RS,ERECHIM,3,0
4307609,RS,ESTANCIA VELHA,2,0
4307807,RS,ESTRELA,1,0
4307906,RS,FARROUPILHA,1,0
4308607,RS,GARIBALDI,1,0
4309209,RS,GRAVATAI,1,0
4310801,RS,IVOTI,3,0
4311403,RS,LAJEADO,5,0
4311809,RS,MARAU,1,0
4313102,RS,NOVA PALMA,1,0
4313409,RS,NOVO HAMBURGO,2,0
4313508,RS,OSORIO,1,0
4314001,RS,PARAI,1,0
4314100,RS,PASSO FUNDO,1,0
